TEO,TEI,TCI,GE,GC,TCO,P,COP,PLR
6.01,9.10,32.05,247.64,365.78,34.15,591.35,5.41,0.51
6.11,8.72,32.07,249.54,360.38,34.70,536.22,5.08,0.43
5.85,9.43,31.80,249.92,356.96,34.93,662.99,5.66,0.59
6.01,10.13,32.04,250.36,359.51,35.62,756.79,5.71,0.68
5.89,12.04,32.00,250.04,364.86,37.45,1284.12,5.02,1.02
6.19,9.19,32.02,253.33,358.80,34.50,580.84,5.48,0.50
6.06,7.90,31.90,250.22,358.36,33.37,468.05,4.12,0.30
5.84,11.35,31.87,253.94,361.75,36.52,1111.20,5.27,0.93
5.88,11.37,31.84,254.34,358.33,36.55,1114.86,5.25,0.92
6.15,10.18,31.85,246.73,357.73,34.75,731.78,5.68,0.66
6.11,9.19,32.07,248.00,358.45,34.60,582.46,5.48,0.50
5.86,8.80,32.08,250.34,358.08,34.48,566.08,5.44,0.49
6.05,9.59,32.05,256.42,357.50,35.34,681.52,5.59,0.60
5.98,10.48,32.19,251.04,366.44,35.87,851.20,5.56,0.75
6.04,9.80,32.02,252.82,362.52,35.08,700.00,5.70,0.63
5.93,10.61,32.08,249.02,357.20,35.46,866.15,5.63,0.77
6.13,9.79,32.14,255.03,359.98,35.64,696.66,5.61,0.62
6.02,10.90,31.98,254.58,362.94,36.48,938.20,5.54,0.82
5.83,12.01,31.92,249.32,363.92,36.51,1280.30,5.04,1.02
5.88,10.76,31.87,252.89,364.81,36.22,933.08,5.54,0.82
6.02,10.17,31.98,249.83,356.88,35.78,760.65,5.70,0.69
5.80,8.46,32.13,252.32,365.18,34.15,553.08,5.08,0.44
6.05,10.20,32.01,250.74,363.80,35.39,760.04,5.74,0.69
5.90,8.79,32.02,248.86,365.97,34.16,558.67,5.39,0.48
6.02,10.84,32.19,247.21,360.66,36.03,895.82,5.58,0.79
6.20,10.12,32.08,253.86,364.78,34.99,729.44,5.72,0.66
6.04,8.79,31.96,252.04,360.76,34.32,556.05,5.21,0.46
6.09,9.19,32.08,250.56,361.09,35.03,591.84,5.48,0.51
6.05,11.93,31.90,248.73,363.39,36.87,1176.23,5.21,0.97
5.86,7.61,32.06,253.56,361.83,33.61,471.66,3.95,0.29
5.89,10.34,32.02,249.69,362.54,35.42,819.81,5.67,0.73
6.03,7.85,31.91,249.06,356.67,33.30,473.79,4.01,0.30
5.94,12.17,31.84,251.63,359.94,37.54,1322.88,4.96,1.04
6.18,9.52,31.91,250.96,364.18,34.37,630.88,5.56,0.55
6.20,11.91,31.96,250.49,356.94,36.74,1142.16,5.24,0.95
5.90,11.98,32.19,252.70,366.47,36.79,1269.22,5.07,1.02
5.87,10.06,31.88,256.38,365.88,35.12,786.22,5.72,0.71
5.98,7.75,32.11,255.13,359.61,34.17,472.98,3.98,0.30
6.13,8.15,31.81,256.38,364.17,33.39,482.23,4.50,0.34
5.88,8.83,32.15,251.76,364.28,34.96,567.66,5.46,0.49
6.12,12.11,32.08,250.70,364.87,36.67,1236.59,5.09,0.99
6.14,11.23,31.95,251.21,364.35,35.75,990.55,5.40,0.85
5.90,11.53,32.04,247.66,357.82,36.68,1096.33,5.32,0.92
5.83,7.78,32.00,249.05,364.09,33.97,470.19,4.33,0.32
5.89,8.91,31.96,254.90,365.01,34.18,589.75,5.47,0.51
5.88,10.38,32.01,252.78,366.41,35.24,856.42,5.57,0.75
6.10,10.02,31.93,251.61,356.65,35.28,732.69,5.64,0.65
