TEO,TEI,TCI,GE,GC,TCO,P,COP,PLR
6.07,11.50,32.18,252.34,358.65,36.44,1076.52,5.33,0.91
6.17,10.76,31.98,248.16,359.01,35.95,844.09,5.65,0.75
6.04,9.56,31.92,248.30,357.13,35.10,652.58,5.61,0.58
5.97,10.64,31.82,248.87,364.29,35.76,875.80,5.56,0.77
5.93,8.39,31.93,249.50,362.35,34.01,529.00,4.85,0.41
5.99,11.84,31.89,250.47,357.87,36.86,1192.27,5.15,0.97
5.93,9.60,32.11,255.21,359.32,35.31,686.92,5.71,0.62
5.99,10.95,31.96,254.62,359.23,36.39,956.70,5.53,0.84
6.13,7.64,31.87,252.35,359.34,32.75,463.11,3.45,0.25
5.96,11.44,31.81,249.92,362.64,36.50,1078.77,5.32,0.91
6.20,8.60,31.82,250.04,365.62,33.55,523.23,4.81,0.40
5.91,10.10,32.11,246.79,362.07,35.16,760.99,5.69,0.68
6.14,11.36,31.82,250.17,362.85,36.14,1002.63,5.45,0.86
5.95,11.53,32.06,249.93,363.97,36.15,1117.05,5.23,0.92
5.92,8.79,32.00,247.98,365.30,34.40,553.25,5.39,0.47
6.14,12.04,32.14,248.64,362.37,36.87,1182.66,5.20,0.97
6.01,9.45,32.12,248.70,356.66,34.65,641.72,5.59,0.57
6.03,9.14,31.99,256.28,364.34,34.20,610.56,5.46,0.53
6.09,10.44,32.20,250.38,363.05,35.40,810.86,5.63,0.72
5.87,8.06,32.15,247.59,362.27,34.04,492.15,4.61,0.36
5.94,11.36,32.16,255.73,364.59,36.29,1095.90,5.30,0.92
5.95,8.50,32.13,248.50,362.30,34.17,533.02,4.98,0.42
5.94,8.02,32.05,253.60,358.22,33.62,482.89,4.58,0.35
6.00,11.05,32.10,247.79,358.95,36.02,945.56,5.54,0.83
6.05,11.74,31.91,249.07,359.01,36.60,1137.90,5.21,0.94
6.18,11.54,31.96,255.29,363.75,36.44,1071.17,5.36,0.91
5.87,11.00,32.10,247.61,357.87,36.13,974.36,5.46,0.84
6.19,9.09,32.17,248.43,363.29,34.68,567.01,5.32,0.48
5.96,9.89,32.18,247.92,364.35,35.45,725.04,5.63,0.64
5.94,11.83,32.03,248.83,359.76,36.40,1179.09,5.20,0.97
6.01,8.13,32.12,247.90,362.11,33.56,498.64,4.42,0.35
5.97,11.79,31.82,255.09,356.76,37.28,1216.20,5.11,0.98
6.15,7.70,31.82,253.59,366.39,32.88,461.08,3.56,0.26
5.98,10.18,31.98,247.40,365.59,35.64,769.43,5.66,0.69
6.01,7.74,32.17,248.90,365.17,33.54,468.52,3.83,0.28
5.89,11.01,31.98,256.18,363.87,35.83,1025.19,5.36,0.87
6.20,9.40,31.97,250.38,363.43,34.17,614.50,5.46,0.53
5.83,8.23,31.91,251.27,360.82,33.58,519.14,4.88,0.40
5.91,8.51,31.96,252.67,360.62,34.23,532.21,5.16,0.43
6.01,11.21,32.06,251.85,362.20,36.23,1015.23,5.40,0.87
5.89,12.07,31.97,252.77,360.21,36.80,1303.12,5.02,1.03
5.84,11.85,32.17,251.35,364.93,36.67,1235.20,5.12,1.00
6.15,10.44,31.94,250.99,364.23,35.55,802.67,5.61,0.71
5.89,10.56,32.03,247.36,357.41,35.83,874.49,5.53,0.76
6.14,10.38,31.87,249.67,360.52,35.30,789.87,5.62,0.70
6.11,9.90,32.06,255.38,358.40,35.63,711.16,5.70,0.64
6.09,7.69,32.06,254.49,362.79,33.58,461.33,3.69,0.27
6.00,10.02,32.19,248.23,365.21,35.27,735.36,5.69,0.66
6.12,9.04,32.06,251.72,359.38,34.57,565.67,5.44,0.49
6.07,10.88,31.97,251.34,363.70,35.99,913.14,5.55,0.80
6.04,8.71,31.88,247.21,362.45,34.45,536.20,5.15,0.44
6.02,9.75,32.02,249.35,357.60,34.92,680.76,5.71,0.61
5.82,11.24,31.91,252.65,360.92,36.19,1074.97,5.34,0.91
6.20,10.93,32.15,252.73,366.04,36.50,900.66,5.56,0.79
5.98,11.48,32.16,249.90,365.00,37.04,1092.32,5.27,0.91
6.05,10.08,31.93,255.11,365.53,35.57,755.52,5.69,0.68
6.07,8.77,32.19,250.52,362.58,34.50,548.74,5.17,0.45
5.98,7.93,32.04,255.43,358.50,33.31,474.27,4.38,0.33
6.06,11.47,31.88,250.75,365.42,36.48,1064.85,5.34,0.90
5.95,8.89,32.16,252.90,365.20,34.35,571.25,5.46,0.49
6.07,11.09,32.06,249.92,361.95,36.02,963.45,5.45,0.83
5.94,8.73,32.03,250.88,361.27,34.41,555.59,5.26,0.46
6.18,11.71,32.14,246.71,359.28,36.29,1073.43,5.31,0.90
6.18,7.75,32.13,247.11,360.13,33.50,451.05,3.60,0.26
6.18,10.22,32.18,250.92,356.82,35.10,741.22,5.73,0.67
5.90,10.97,31.93,255.16,359.60,36.48,1001.30,5.41,0.86
5.91,11.05,31.89,254.08,363.32,35.95,1005.14,5.43,0.86
5.84,9.54,31.84,255.76,366.19,34.53,693.86,5.71,0.63
6.11,10.80,31.82,255.76,364.65,35.90,897.36,5.60,0.79
6.06,12.17,31.87,248.72,360.29,37.00,1261.36,5.05,1.01
6.16,9.31,31.92,251.64,357.73,34.99,601.58,5.51,0.52
5.91,10.86,32.13,247.00,361.92,35.78,920.38,5.57,0.81
6.13,8.26,32.14,249.30,362.26,33.78,490.32,4.54,0.35
5.95,9.27,31.97,256.47,361.22,34.25,628.38,5.67,0.56
5.99,9.94,32.07,254.78,363.51,35.05,750.50,5.63,0.67
5.84,8.62,32.17,247.70,361.06,34.75,550.38,5.24,0.46
5.82,7.76,32.14,254.05,361.70,33.68,472.93,4.36,0.33
6.14,8.99,31.89,252.91,363.83,34.27,564.83,5.35,0.48
6.09,8.06,31.98,254.20,363.33,33.66,473.28,4.42,0.33
6.01,10.22,31.88,251.24,359.74,35.60,773.52,5.73,0.70
6.20,8.23,31.88,255.80,363.26,33.71,490.09,4.45,0.34
6.16,7.73,31.87,251.86,363.03,33.35,455.44,3.63,0.26
6.20,9.16,31.91,247.44,359.43,34.23,575.59,5.33,0.48
6.02,11.72,31.98,246.72,365.39,36.32,1129.09,5.22,0.93
5.91,11.87,31.92,250.69,361.57,36.93,1216.11,5.14,0.99
5.99,11.86,32.20,255.72,364.34,36.89,1239.38,5.07,0.99
5.80,11.12,32.14,246.79,356.87,36.83,1011.89,5.44,0.87
5.86,11.51,31.82,246.82,359.53,36.88,1114.39,5.24,0.92
6.11,11.19,31.94,249.80,365.67,36.01,967.79,5.48,0.84
6.16,11.17,31.97,253.74,362.96,36.03,973.87,5.46,0.84
5.83,8.48,32.13,251.99,365.68,34.80,540.03,5.18,0.44
5.94,10.03,32.04,256.45,361.72,35.60,771.42,5.70,0.69
5.86,9.22,32.00,252.07,359.01,34.33,637.52,5.57,0.56
6.15,8.52,32.17,254.05,364.36,33.73,520.99,4.84,0.40
5.99,11.41,31.91,251.09,360.23,36.49,1060.12,5.37,0.90
6.05,7.96,31.86,249.37,356.81,33.32,478.47,4.15,0.31
6.20,11.25,31.94,251.55,360.39,35.64,968.08,5.50,0.84
6.19,9.25,31.86,249.15,361.21,34.31,591.53,5.41,0.51
6.08,9.73,31.85,248.12,359.40,35.23,669.25,5.68,0.60
5.90,8.51,31.98,254.96,362.64,34.46,532.26,5.23,0.44
6.16,11.47,31.81,249.92,361.67,35.81,1025.08,5.42,0.88
6.11,9.05,32.05,249.63,366.18,34.43,567.52,5.41,0.48
6.05,7.67,32.00,250.65,365.86,33.69,459.46,3.69,0.27
5.85,8.77,32.18,252.46,360.42,34.37,583.24,5.29,0.49
5.88,9.55,32.08,250.15,363.21,35.07,678.20,5.68,0.61
6.06,7.92,32.17,255.59,365.51,33.55,466.51,4.25,0.31
5.98,9.05,31.82,256.07,357.92,34.60,609.71,5.39,0.52
5.84,8.62,32.17,254.64,365.07,34.33,562.06,5.27,0.47
6.02,11.47,31.85,252.36,363.06,36.36,1078.32,5.34,0.91
6.15,10.90,32.00,250.66,362.74,36.23,889.77,5.60,0.79
6.17,9.74,32.07,249.75,362.53,35.00,671.41,5.56,0.59
5.91,8.38,31.91,248.24,357.43,33.96,526.90,4.87,0.41
6.11,8.17,32.01,247.68,360.79,33.61,490.99,4.34,0.34
5.91,10.84,32.08,248.21,357.65,36.08,919.32,5.57,0.81
5.87,10.44,32.08,253.61,362.59,35.76,866.14,5.60,0.77
5.84,10.03,32.00,253.42,365.90,35.54,791.82,5.61,0.70
6.04,10.76,31.98,251.18,361.75,35.89,888.21,5.59,0.78
6.02,10.55,32.18,254.46,359.76,35.68,864.37,5.58,0.76
6.07,9.87,31.96,248.57,357.31,34.77,700.65,5.66,0.63
5.82,11.40,32.04,249.20,359.37,36.18,1091.90,5.33,0.92
6.05,11.42,32.05,249.67,363.04,36.37,1047.05,5.36,0.89
6.06,10.63,32.02,248.19,361.28,35.58,855.75,5.55,0.75
5.84,10.05,32.07,249.27,358.88,35.81,782.49,5.63,0.70
5.94,8.29,31.83,247.29,358.82,34.25,499.71,4.87,0.38
6.05,8.59,32.08,255.44,356.74,33.94,533.41,5.09,0.43
6.14,11.09,31.95,251.62,359.17,35.75,950.21,5.48,0.82
5.98,12.06,31.85,254.50,363.83,36.86,1299.81,4.99,1.02
6.15,7.64,32.17,251.34,359.71,33.12,449.01,3.49,0.25
5.92,11.72,32.11,251.76,361.63,36.69,1188.30,5.14,0.97
5.81,8.23,32.08,252.40,360.89,34.33,515.54,4.95,0.40
6.01,10.87,32.04,251.83,362.80,35.81,931.15,5.50,0.81
5.96,11.52,32.14,253.94,362.37,37.05,1122.07,5.27,0.93
5.92,12.16,32.00,251.21,359.19,37.45,1309.34,5.02,1.04
5.94,11.98,32.01,251.14,363.72,36.72,1255.34,5.06,1.00
5.92,9.15,32.07,249.78,356.76,34.61,603.45,5.61,0.53
6.06,12.00,31.95,248.42,362.55,36.67,1209.26,5.11,0.98
5.80,10.46,31.83,252.63,364.83,35.57,875.39,5.63,0.78
5.88,9.87,31.99,254.30,362.11,35.47,740.09,5.74,0.67
5.98,8.09,32.04,256.09,363.49,33.82,495.63,4.57,0.36
6.18,11.60,32.02,247.75,359.32,36.22,1058.70,5.32,0.89
6.19,8.34,31.92,247.70,360.34,33.94,496.52,4.48,0.35
5.96,8.66,32.11,247.08,362.93,34.26,550.67,5.07,0.44
5.96,8.73,32.11,255.39,362.53,34.14,554.25,5.34,0.47
5.86,8.43,31.92,247.63,362.58,34.43,521.44,5.12,0.42
5.82,9.59,32.02,253.18,358.51,34.81,712.70,5.61,0.63
6.06,10.83,32.03,256.06,363.22,36.21,917.09,5.58,0.81
5.96,9.63,32.17,254.84,362.08,35.17,698.35,5.61,0.62
6.08,11.21,32.01,256.03,357.23,36.55,1018.90,5.39,0.87
5.90,11.89,32.01,249.50,365.68,36.62,1229.56,5.09,0.99
5.89,10.98,32.09,256.23,360.18,36.38,1010.29,5.41,0.86
5.99,11.36,32.17,251.10,366.37,36.50,1053.73,5.36,0.89
5.95,9.42,31.82,256.36,366.32,35.11,651.89,5.72,0.59
6.18,10.66,32.09,251.96,363.50,36.10,831.46,5.68,0.75
6.13,11.90,31.95,252.01,357.95,37.11,1174.27,5.18,0.96
5.90,8.85,32.15,247.09,356.83,34.51,567.87,5.36,0.48
5.96,9.97,31.90,256.42,360.28,35.04,759.42,5.67,0.68
6.07,10.78,32.08,255.17,365.39,36.32,910.97,5.52,0.79
5.99,11.82,32.11,247.21,361.14,36.77,1154.95,5.23,0.95
6.05,10.00,31.84,251.93,365.53,35.27,738.12,5.65,0.66
5.82,10.23,32.00,250.33,364.52,35.97,818.07,5.66,0.73
5.93,12.15,31.99,246.88,359.11,37.61,1273.59,5.05,1.02
6.06,8.93,31.97,253.24,359.46,34.54,574.71,5.29,0.48
5.99,10.73,32.06,252.61,364.45,35.82,908.16,5.52,0.79
6.11,9.66,32.04,255.65,362.39,35.25,676.11,5.62,0.60
6.00,10.89,32.15,252.04,360.99,35.91,931.76,5.54,0.82
6.01,11.24,32.16,250.68,363.43,36.61,1018.30,5.40,0.87
5.86,10.86,32.17,250.69,358.76,36.14,952.18,5.51,0.83
5.93,8.20,32.18,252.88,365.95,33.99,498.38,4.82,0.38
5.86,9.67,32.11,253.08,362.97,35.73,705.31,5.72,0.64
5.82,10.45,32.11,253.51,365.66,35.65,890.80,5.53,0.78
6.19,10.44,31.96,252.61,357.79,35.82,802.30,5.60,0.71
6.15,10.71,32.07,249.48,361.52,35.83,851.54,5.59,0.75
6.10,10.09,32.20,247.26,358.32,35.27,728.76,5.67,0.65
5.91,9.24,31.99,250.94,357.50,34.83,635.95,5.50,0.55
6.06,10.92,32.05,246.89,362.05,35.80,909.90,5.53,0.79
6.02,8.71,32.12,255.62,362.30,34.62,546.39,5.27,0.46
6.12,8.20,32.16,247.15,357.03,33.62,481.72,4.46,0.34
6.03,9.94,31.83,256.43,365.69,34.56,745.94,5.63,0.66
6.11,11.43,31.98,246.78,359.65,36.65,1010.25,5.45,0.87
5.95,9.29,31.90,253.92,365.27,34.72,626.06,5.67,0.56
5.85,11.93,32.02,255.09,356.69,36.95,1297.08,5.00,1.03
6.12,8.11,31.98,248.61,358.76,33.52,475.18,4.37,0.33
6.14,10.72,31.92,251.82,360.66,35.59,869.73,5.55,0.76
5.85,8.80,32.18,250.21,364.42,34.92,577.42,5.36,0.49
6.09,9.68,31.96,247.56,359.93,34.45,652.96,5.70,0.59
5.93,9.22,32.18,253.80,357.74,35.27,635.47,5.49,0.55
5.82,9.73,32.01,256.52,362.90,34.82,735.77,5.70,0.66
5.80,8.85,32.18,247.67,357.71,34.78,578.21,5.46,0.50
5.98,10.03,31.90,250.49,364.29,35.34,746.63,5.68,0.67
5.88,10.87,31.86,254.74,361.03,36.26,973.71,5.47,0.84
5.88,11.48,31.95,249.96,357.33,37.09,1108.27,5.29,0.93
6.03,8.96,32.04,251.45,359.76,34.09,575.13,5.35,0.49
6.07,8.04,32.01,251.32,365.48,33.66,486.34,4.24,0.33
6.12,10.22,31.93,255.33,358.02,35.46,783.78,5.60,0.69
5.83,8.62,31.90,254.41,356.87,34.64,565.72,5.26,0.47
5.87,9.11,32.16,255.88,357.50,34.76,627.81,5.53,0.55
6.09,12.14,32.13,248.89,359.92,36.68,1234.50,5.11,1.00
6.08,11.04,32.18,256.01,361.14,36.31,972.93,5.47,0.84
6.15,10.60,32.19,256.59,356.76,36.02,844.32,5.66,0.75
6.09,11.62,32.13,251.67,361.10,37.09,1109.26,5.25,0.92
6.05,10.02,31.99,246.93,357.55,34.78,727.94,5.64,0.65
6.19,12.02,31.88,249.47,361.08,36.31,1174.38,5.19,0.96
5.98,8.67,32.06,249.98,359.98,34.53,543.27,5.18,0.44
6.09,9.56,31.83,255.05,357.16,34.45,650.15,5.70,0.59
6.13,11.90,31.83,252.27,360.87,36.34,1168.69,5.22,0.96
6.05,10.58,31.90,251.32,364.85,35.19,847.73,5.62,0.75
6.01,9.13,32.06,251.60,366.38,35.07,603.08,5.45,0.52
6.16,11.13,32.09,256.24,356.51,35.95,967.85,5.50,0.84
5.90,8.45,31.81,253.54,361.05,34.24,525.32,5.17,0.43
5.98,8.29,31.82,255.60,361.32,33.47,516.60,4.77,0.39
5.92,9.74,32.13,251.69,358.57,35.42,714.49,5.64,0.64
6.06,8.81,31.93,249.27,363.72,34.01,547.29,5.24,0.45
6.11,9.38,32.14,251.45,357.13,35.02,614.10,5.61,0.54
6.12,10.81,31.94,249.52,364.01,35.93,879.29,5.57,0.77
6.08,8.45,32.20,249.71,363.36,33.67,509.87,4.85,0.39
5.96,11.81,31.88,250.46,360.55,36.59,1190.71,5.15,0.97
5.81,8.82,31.86,256.41,359.27,34.44,590.94,5.47,0.51
6.16,8.47,32.18,247.43,365.74,34.26,499.29,4.80,0.38
6.15,11.40,32.13,255.18,362.01,36.56,1047.37,5.36,0.89
5.89,9.20,32.17,247.69,360.52,35.18,624.88,5.49,0.54
6.12,11.65,31.93,254.65,361.83,36.83,1126.11,5.23,0.93
6.13,8.55,32.07,248.44,364.91,34.47,512.62,4.90,0.40
6.11,9.68,32.04,246.72,357.78,35.36,657.81,5.62,0.58
6.18,9.84,31.95,247.64,356.74,35.08,679.03,5.58,0.60
5.84,8.22,32.10,248.54,357.45,33.62,520.14,4.75,0.39
5.91,8.84,31.89,247.62,357.99,34.62,559.28,5.43,0.48
6.13,11.47,32.00,247.74,364.13,36.04,1021.31,5.42,0.88
6.17,8.14,32.13,253.22,360.30,33.41,486.49,4.31,0.33
6.15,8.48,31.93,252.28,357.87,33.47,511.39,4.80,0.39
6.03,11.14,32.20,255.18,358.00,36.87,1007.38,5.42,0.86
5.99,11.49,31.80,252.24,362.20,36.05,1105.15,5.25,0.92
5.99,7.90,32.07,248.40,361.26,33.76,481.62,4.13,0.31
6.05,9.35,32.02,248.66,362.53,34.78,609.60,5.64,0.54
6.03,10.18,32.12,253.69,363.64,35.63,782.25,5.63,0.70
5.89,12.19,32.00,249.10,360.77,36.75,1306.88,5.03,1.04
6.11,8.49,31.99,252.50,359.56,33.52,523.25,4.81,0.40
6.14,10.81,32.08,248.03,360.89,36.09,857.59,5.65,0.77
6.15,10.74,32.13,247.62,358.73,35.97,850.62,5.60,0.75
5.93,10.68,32.13,248.45,357.36,36.03,884.08,5.59,0.78
6.09,12.01,31.96,251.30,357.93,37.08,1218.02,5.11,0.98
6.08,9.80,31.88,255.35,359.28,34.68,703.18,5.66,0.63
5.98,8.40,31.84,255.20,356.70,33.62,525.27,4.92,0.41
6.17,10.70,32.05,248.35,363.69,35.89,832.50,5.65,0.74
6.05,10.98,31.92,247.08,364.11,36.28,932.25,5.48,0.81
5.94,9.24,31.82,256.15,358.45,34.27,640.55,5.51,0.56
5.86,9.72,32.14,247.18,359.73,34.95,699.22,5.71,0.63
5.91,10.32,32.20,255.33,364.18,35.94,839.77,5.61,0.74
5.93,10.46,31.83,254.66,364.40,35.63,869.00,5.57,0.76
5.84,7.97,31.92,247.52,362.53,33.86,483.08,4.57,0.35
6.19,8.78,32.09,252.10,357.37,34.53,532.74,5.14,0.43
6.18,10.96,32.20,247.25,360.66,36.13,886.23,5.58,0.78
6.05,11.99,32.13,255.91,365.92,37.34,1252.77,5.08,1.01
5.88,9.02,31.92,254.98,365.45,34.79,613.54,5.46,0.53
5.96,9.88,32.09,252.88,364.17,35.12,740.76,5.60,0.66
5.92,7.69,31.82,251.91,362.01,33.37,474.24,3.95,0.30
6.07,8.68,31.94,249.62,359.62,34.32,536.11,5.09,0.43
6.01,11.92,32.11,251.07,365.77,37.41,1209.27,5.14,0.98
6.04,8.54,31.98,254.39,361.12,34.55,538.36,4.94,0.42
5.85,10.81,31.98,249.69,361.85,36.25,949.78,5.47,0.82
6.13,10.92,31.95,249.08,361.23,35.64,906.72,5.52,0.79
5.98,8.12,32.05,246.81,365.80,34.00,491.67,4.48,0.35
5.88,11.43,32.02,256.58,360.48,37.02,1146.20,5.21,0.94
5.99,8.20,32.11,253.98,363.10,34.19,508.73,4.62,0.37
5.87,9.28,31.99,254.53,362.54,35.02,654.38,5.56,0.57
5.98,9.64,31.89,251.80,365.96,34.84,688.16,5.60,0.61
5.90,12.18,31.88,253.05,358.90,36.88,1345.03,4.94,1.05
6.00,10.41,31.88,247.44,362.43,35.16,806.52,5.66,0.72
6.15,9.10,31.98,252.69,359.85,34.70,586.26,5.33,0.49
5.88,10.34,31.93,253.91,360.37,35.97,850.93,5.57,0.75
6.07,7.93,31.85,249.53,358.17,33.23,462.87,4.20,0.31
6.10,9.84,32.07,247.91,363.39,35.12,681.13,5.70,0.61
6.01,11.25,32.03,250.47,362.12,36.09,1019.85,5.39,0.87
6.06,11.24,31.96,254.62,364.54,36.51,1023.64,5.40,0.87
6.00,10.67,31.98,252.16,358.71,35.54,875.94,5.62,0.78
6.01,9.65,31.98,252.12,361.44,35.15,680.78,5.65,0.61
6.15,9.12,32.04,255.15,365.77,34.15,587.93,5.41,0.50
6.11,9.16,31.81,250.81,361.14,34.79,593.19,5.40,0.51
6.16,9.40,32.03,250.12,365.03,34.16,607.01,5.58,0.53
5.89,9.04,32.12,250.79,359.43,34.98,596.04,5.55,0.52
5.81,9.61,31.94,248.15,358.46,35.40,688.98,5.73,0.62
5.95,11.22,32.17,248.97,364.77,36.85,1020.87,5.38,0.87
6.14,11.73,31.91,252.31,358.34,36.66,1119.53,5.28,0.93
6.02,8.54,31.89,253.49,356.91,34.16,527.14,5.09,0.42
5.93,10.28,31.88,254.61,358.97,35.07,817.35,5.68,0.73
6.12,11.20,32.08,252.88,361.67,36.70,981.97,5.48,0.85
5.90,10.85,32.10,252.90,365.51,35.67,957.52,5.48,0.83
5.88,9.33,32.00,246.77,361.70,34.31,628.67,5.67,0.56
5.89,9.49,31.99,255.96,365.33,35.45,691.60,5.58,0.61
5.80,8.73,31.81,250.49,365.30,34.29,571.74,5.37,0.49
5.85,10.92,31.82,255.23,359.44,36.29,989.44,5.48,0.86
5.89,10.41,31.89,253.90,357.24,35.54,854.96,5.61,0.76
5.90,9.11,31.99,247.66,358.53,34.42,611.67,5.44,0.53
6.06,11.95,31.90,251.15,363.75,37.15,1197.48,5.17,0.98
6.11,11.96,31.92,248.90,360.35,37.06,1176.38,5.18,0.96
6.09,9.88,32.03,249.71,364.05,35.38,708.05,5.60,0.63
6.00,8.59,32.07,249.30,363.84,34.64,524.92,5.16,0.43
6.04,7.84,31.97,248.97,359.92,33.82,466.39,4.02,0.30
5.86,9.31,32.10,249.70,362.72,34.88,642.33,5.62,0.57
5.98,9.58,32.18,249.03,358.79,35.37,664.87,5.64,0.59
5.96,9.71,32.01,249.29,356.98,34.69,688.39,5.68,0.62
6.12,11.28,32.07,253.33,360.34,36.86,1013.68,5.40,0.86
5.80,9.70,31.89,247.08,357.53,35.53,716.00,5.63,0.64
6.16,10.77,31.89,252.02,359.44,35.24,878.83,5.54,0.77
6.12,7.77,31.97,251.20,357.43,33.24,453.83,3.82,0.27
6.11,11.36,31.96,252.49,363.68,36.67,1020.95,5.43,0.88
5.93,8.72,32.18,248.73,364.56,34.40,556.00,5.22,0.46
6.11,9.57,32.16,254.93,359.78,34.56,652.45,5.65,0.58
6.02,11.64,32.05,254.12,365.85,37.02,1138.87,5.25,0.94
6.01,8.68,32.18,251.13,364.75,34.63,539.99,5.21,0.44
6.01,9.97,31.89,247.18,364.36,34.65,715.18,5.72,0.65
6.06,11.85,31.98,249.78,361.98,36.59,1174.21,5.16,0.96
6.07,8.47,31.85,254.11,358.05,33.51,522.17,4.89,0.40
5.95,8.40,32.14,247.90,365.12,34.46,526.75,4.82,0.40
