TEO,TEI,TCI,GE,GC,TCO,P,COP,PLR
7.14,8.67,32.11,249.79,360.56,33.56,454.18,3.53,0.25
7.08,8.62,31.97,248.12,363.44,33.07,463.12,3.44,0.25
7.09,8.66,31.98,248.47,366.44,33.05,457.99,3.56,0.26
7.2,8.73,32.05,252.32,357.53,33.59,452.9,3.58,0.26
7.08,8.68,31.99,248.86,356.5,33.26,457.73,3.64,0.26
7.06,8.64,32.03,247.03,365.44,33.47,460.57,3.54,0.26
7.02,8.66,31.81,247.23,358.18,33.65,465.85,3.63,0.27
7.11,8.72,31.96,254.42,363.79,33.43,467.29,3.67,0.27
7.13,8.74,32.15,253.01,364.24,33.54,465.37,3.66,0.27
7.01,8.68,31.99,248.51,364.41,33.4,455.21,3.82,0.27
7.16,8.82,31.98,247.36,360.94,33.01,464.05,3.71,0.27
7.06,8.66,31.94,250.76,365.37,33.35,460.08,3.65,0.27
7.06,8.67,32,252.09,360.06,33.11,456.67,3.72,0.27
7.2,8.8,32.14,256.08,365.36,34,456.28,3.75,0.27
7,8.67,32.17,250.2,357.77,33.15,462,3.78,0.28
7.1,8.79,32.12,248.46,364.6,33.54,455.99,3.84,0.28
7.06,8.75,31.9,251.57,361.73,33.11,469.58,3.77,0.28
6.81,8.61,32.05,247.34,359.08,33.8,466.61,3.99,0.29
7.08,8.8,31.81,254.25,363.95,33.43,454.62,4.02,0.29
7.16,9,32.13,249.24,356.72,33.49,468.8,4.1,0.3
6.82,8.6,31.99,250.54,356.65,34.02,469.62,3.98,0.3
7.1,8.89,31.9,251.72,364.66,33.83,469.45,4.01,0.3
7.02,8.86,31.98,254.98,365.94,33.56,465.27,4.23,0.31
7.07,8.91,31.97,256.15,361.78,33.19,461.09,4.29,0.31
6.99,8.87,32.13,249.26,361.87,34.14,471.1,4.17,0.31
6.81,8.66,32.08,252.17,363.16,33.63,477.75,4.08,0.31
7.04,8.95,31.94,246.67,359.98,33.96,466.09,4.23,0.31
6.94,8.75,32.13,255.78,356.73,33.42,467.22,4.14,0.31
