TEO,TEI,TCI,GE,GC,TCO,P,COP,PLR
5.91,8.05,29.86,252.38,359.55,31.20,422.66,5.36,0.36
6.16,8.73,30.07,247.57,357.81,31.82,474.04,5.62,0.42
5.94,11.55,30.18,253.12,363.63,34.84,1035.60,5.75,0.94
5.99,11.56,30.10,248.81,357.00,35.07,1009.76,5.76,0.92
6.07,11.35,30.01,255.85,358.90,34.50,975.60,5.80,0.89
6.02,9.95,30.06,247.45,357.93,33.43,657.24,6.19,0.64
6.03,10.87,30.00,252.27,361.67,33.92,842.56,6.06,0.81
6.06,12.17,29.95,252.12,364.64,34.51,1184.26,5.45,1.02
5.98,8.73,29.82,249.80,362.41,32.47,499.44,5.76,0.45
6.00,8.42,30.10,249.96,365.93,32.26,457.72,5.53,0.40
5.82,8.03,30.05,250.96,365.76,32.09,426.89,5.44,0.37
5.94,7.70,29.95,248.66,363.02,31.58,388.18,4.73,0.29
6.02,9.94,30.13,253.03,363.51,33.47,674.27,6.15,0.66
6.05,10.73,29.92,254.92,362.41,34.21,834.32,5.98,0.79
6.18,8.52,29.82,250.06,363.89,31.49,442.04,5.52,0.39
6.14,10.68,29.85,251.42,357.83,33.62,785.10,6.09,0.76
6.14,8.38,30.15,250.80,359.51,32.04,431.85,5.44,0.37
5.89,7.80,29.89,250.28,359.65,31.10,397.42,5.05,0.32
5.80,10.28,29.88,251.54,357.01,33.21,766.77,6.15,0.74
5.84,7.79,29.82,252.74,358.74,31.38,417.80,4.92,0.32
5.86,11.14,29.85,253.75,365.65,34.51,967.07,5.80,0.89
6.18,9.88,30.02,248.89,359.76,33.08,617.87,6.24,0.61
5.87,7.92,29.99,254.27,359.41,31.86,422.07,5.19,0.35
6.13,12.02,29.87,254.19,363.34,35.20,1131.52,5.54,0.99
6.03,10.63,30.04,251.14,361.28,34.23,800.51,6.05,0.77
5.87,10.20,30.01,246.81,363.29,33.37,720.91,6.21,0.71
6.18,11.73,29.99,253.40,358.15,34.22,1037.07,5.68,0.93
6.02,11.96,29.95,249.01,360.01,34.40,1112.14,5.57,0.98
6.17,8.10,29.85,248.16,362.99,31.09,410.00,4.90,0.32
6.09,10.13,30.19,251.24,361.69,33.45,692.69,6.13,0.67
5.93,8.96,29.93,255.57,358.54,32.79,538.22,6.02,0.51
6.12,11.64,30.02,247.77,365.77,34.01,997.19,5.74,0.90
5.95,8.44,29.92,252.11,364.24,32.18,465.58,5.65,0.42
6.10,10.75,29.92,251.77,361.96,33.41,802.44,6.11,0.78
6.10,8.77,30.05,247.12,357.95,31.79,477.73,5.79,0.44
5.93,12.09,29.86,253.52,359.95,34.62,1208.41,5.41,1.03
5.85,9.11,30.16,246.91,366.40,32.28,556.83,6.04,0.53
6.03,11.46,30.00,253.30,357.16,34.82,996.41,5.77,0.91
5.83,10.75,30.16,247.44,365.08,34.14,858.08,5.95,0.81
6.02,8.53,30.06,247.03,359.80,31.77,473.19,5.49,0.41
5.90,8.30,30.15,250.84,360.57,32.22,456.65,5.53,0.40
5.94,8.06,29.98,253.96,361.00,31.35,424.39,5.29,0.35
5.84,10.75,29.91,254.70,356.93,34.03,870.11,6.01,0.83
