TEO,TEI,TCI,GE,GC,TCO,P,COP,PLR
7.16,8.61,28.16,252.66,361.37,28.9,297.13,5.17,0.24
7.14,8.64,27.88,251.25,360.74,29.46,301.02,5.24,0.25
7.17,8.66,27.91,250.75,358.54,29.31,310.67,5.06,0.25
7.2,8.7,27.81,256.33,357.5,29.25,305.69,5.28,0.26
7.18,8.76,27.84,248.85,357.6,29.44,315.68,5.21,0.26
7.03,8.61,27.84,254.86,360.32,29.49,311.45,5.4,0.27
7.08,8.7,27.91,251.46,356.71,29.36,317.03,5.37,0.27
7.06,8.64,28.11,255.54,359.4,29.62,320.27,5.27,0.27
7.05,8.72,27.94,250.23,360.11,29.78,317.2,5.52,0.28
7.2,8.87,27.87,251.78,362.72,29.67,315.48,5.6,0.28
6.96,8.66,27.94,249.37,360.48,29.19,322.52,5.49,0.28
6.99,8.7,28.05,248.87,364.71,29.48,331.18,5.4,0.28
7.09,8.8,28.18,253.54,359.06,29.57,318.03,5.68,0.29
7.01,8.76,27.82,249.65,365.26,29.39,326.93,5.59,0.29
7.1,8.81,28.03,252.62,357.46,29.23,332.99,5.42,0.29
6.86,8.7,27.91,247.89,356.71,29.41,342.47,5.57,0.3
7.07,8.91,28.1,248.36,356.87,29.69,341.81,5.6,0.3
6.96,8.78,27.89,250.29,360.35,28.94,325.97,5.85,0.3
7.01,8.85,28.18,249.5,365.09,30.12,333.93,5.73,0.3
7.08,8.86,27.93,252.85,362.23,29.68,335.87,5.58,0.3
7.1,8.94,27.97,248.09,363.39,29.47,332.95,5.73,0.3
7.03,8.91,28.19,248.08,365.28,29.37,329.53,5.92,0.31
6.92,8.78,27.82,250.61,365.27,28.94,341.75,5.72,0.31
7.05,8.91,28.16,254.57,366.03,29.89,348.25,5.69,0.31
7.06,8.99,28.1,255.31,365.55,29.71,353.36,5.82,0.32
7.17,9.12,27.87,246.6,363.8,29.88,340.71,5.9,0.32
6.89,8.86,27.86,249.5,358.22,29.57,341.6,6.01,0.32
6.81,8.77,28.18,252.32,358.27,29.74,358.62,5.78,0.33
6.99,8.99,27.82,247.85,363.32,29.14,341.18,6.1,0.33
7.05,9.02,28.05,256.37,358.95,29.21,342.7,6.17,0.33
6.93,8.93,27.87,248.31,366.26,29.58,357.18,5.81,0.33
6.84,8.84,27.81,248.61,360.75,29.69,356.84,5.84,0.33
7.01,8.94,27.82,255.59,357.23,28.97,342.7,6.04,0.33
7.05,9.05,28.13,254.96,358.12,29.89,353.97,6.03,0.34
6.96,8.99,28.04,249.43,366.25,29.71,357.67,5.93,0.34
7.17,9.22,28.1,248.97,358.25,30.07,349.16,6.14,0.34
7.04,9.08,27.98,251.12,362.78,29.62,356.56,6.02,0.34
7.13,9.28,27.85,246.93,356.55,29.4,352.52,6.32,0.35
6.88,8.94,27.92,254.14,358.55,29.96,360.81,6.09,0.35
6.99,9.13,28.17,247.63,357.6,29.59,363.86,6.09,0.35
7.16,9.21,27.83,255.64,358.6,29.38,366.98,5.99,0.35
7.09,9.16,27.93,256.17,359.04,29.24,352.84,6.32,0.35
7.16,9.23,27.94,254.36,358,29.84,355.04,6.23,0.35
6.98,9.06,27.99,255.01,363.11,30.16,358.6,6.19,0.35
7.17,9.3,28.06,251.67,358.6,29.82,364.15,6.15,0.35
7.11,9.24,28.11,250.42,362.98,30.1,353.51,6.34,0.35
7.04,9.22,28.09,252.03,359.33,29.56,364.67,6.3,0.36
7.01,9.19,27.91,252.03,358.87,30.04,368.82,6.23,0.36
6.9,9.15,27.88,247.56,357.64,29.47,368.85,6.32,0.37
7.14,9.36,28.09,249.6,359.12,29.72,365.61,6.34,0.37
6.97,9.15,27.92,256.2,365.8,29.65,362.97,6.44,0.37
6.85,9.09,28.13,250.9,365.5,29.95,380.9,6.19,0.37
6.89,9.15,28.05,247.06,360.59,30.03,368.82,6.34,0.37
7.17,9.38,28.15,254.17,356.62,29.64,378.52,6.21,0.37
6.96,9.22,28.16,252.65,359.55,29.7,367.67,6.5,0.38
6.86,9.11,27.86,256.15,361.04,29.42,378.7,6.37,0.38
7.18,9.42,27.81,256.13,360.9,29.2,371.91,6.48,0.38
6.81,9.07,28.1,255.43,364.26,29.98,387.52,6.23,0.38
7.07,9.38,27.99,250.86,366.28,30,374.55,6.48,0.38
7.11,9.33,27.85,255.25,363.26,30.05,373.06,6.37,0.38
7.12,9.46,27.94,247.47,360.18,29.35,384.15,6.29,0.38
