TEO,TEI,TCI,GE,GC,TCO,P,COP,PLR
7.18,8.77,30.03,249.29,363.58,31.7,374.82,4.43,0.26
7.12,8.64,30,255.87,358.15,31.01,366.66,4.45,0.26
7.07,8.7,29.97,255.06,363.64,31.59,381.65,4.56,0.27
7.13,8.73,30.13,254.1,360.85,31.39,363.75,4.7,0.27
6.99,8.68,30.08,251.26,362.38,31.24,370.77,4.79,0.28
6.98,8.65,30.15,256.5,357.97,31.42,376.51,4.76,0.28
6.99,8.69,29.97,253.16,357.82,31.37,382.56,4.72,0.28
7.15,8.88,30.04,248.32,361.65,31.02,379.68,4.74,0.28
6.93,8.63,30.04,246.83,365.59,31.01,370.66,4.74,0.28
6.99,8.62,29.97,256.53,358.35,31.4,371.41,4.7,0.28
7.12,8.81,29.91,249.34,357.05,31.21,380.86,4.62,0.28
7.13,8.87,29.85,252.85,363.56,31.59,388.37,4.74,0.29
7.18,8.88,29.9,255.2,359.18,31.13,381.21,4.76,0.29
7.12,8.87,30.02,255.62,359.96,31.24,375.6,4.97,0.29
6.87,8.6,30.05,255.29,359.24,31.38,377.82,4.9,0.29
6.97,8.72,29.89,251.07,364.31,31.31,380,4.83,0.29
7,8.8,29.86,247.11,360.08,30.95,373.38,5,0.29
7.07,8.8,29.85,251.08,358.82,31,373.78,4.87,0.29
7,8.79,29.86,249.2,359.8,31.49,380.41,4.91,0.29
7.14,8.92,30.01,247.14,358.08,31.49,371.29,4.97,0.29
7.06,8.77,29.89,255.65,360.46,31.67,371.87,4.92,0.29
7.06,8.8,30.08,253.05,365.24,31.6,376.78,4.88,0.29
6.84,8.62,30.12,254.56,364.52,32,390.14,4.88,0.3
7.13,8.92,30.03,253.36,356.62,32.06,387.89,4.91,0.3
7.11,8.95,30.14,247.45,365.02,31.88,391.04,4.87,0.3
6.86,8.74,30.18,248.96,360.32,31.3,388.47,5.06,0.31
6.87,8.76,29.93,246.85,365.08,31.9,394.9,4.95,0.31
