TEO,TEI,TCI,GE,GC,TCO,P,COP,PLR
6.04,9.27,28.01,254.74,362.14,30.44,514.05,6.70,0.54
5.98,11.68,27.97,252.45,357.72,32.38,998.13,6.05,0.95
5.82,10.87,27.97,247.80,359.60,31.87,810.72,6.46,0.83
6.00,10.31,27.93,248.58,364.21,31.20,666.16,6.73,0.71
6.13,11.05,28.02,249.12,361.00,31.58,788.77,6.51,0.81
6.10,8.27,28.09,255.66,362.74,30.14,386.78,5.99,0.37
6.02,11.32,27.95,253.15,365.47,32.57,889.70,6.31,0.89
5.93,8.37,27.88,252.64,365.54,29.51,414.16,6.22,0.41
6.20,9.23,28.02,251.06,362.85,29.99,473.11,6.73,0.50
6.14,8.13,28.00,254.61,363.17,29.62,376.04,5.63,0.33
5.89,8.43,28.07,254.33,366.37,30.52,420.64,6.45,0.43
6.06,7.90,27.92,255.38,356.70,29.10,366.56,5.37,0.31
5.89,11.28,28.11,250.49,364.58,32.24,910.30,6.20,0.89
6.07,9.90,27.96,249.62,363.59,30.59,589.14,6.80,0.63
5.82,8.85,27.81,247.45,359.68,29.92,465.66,6.73,0.49
5.87,9.44,28.18,253.76,366.12,31.15,556.94,6.81,0.60
5.81,9.47,28.07,251.21,358.12,30.52,557.07,6.89,0.61
6.10,11.62,28.17,249.97,358.52,32.66,934.07,6.19,0.91
5.98,8.73,28.08,252.86,358.19,30.13,443.30,6.57,0.46
5.98,9.88,28.17,253.98,363.79,31.58,618.50,6.71,0.66
6.00,8.53,28.20,256.47,360.45,30.10,428.78,6.34,0.43
6.06,8.12,28.18,248.59,359.58,29.36,373.95,5.75,0.34
6.14,8.27,28.11,250.23,360.31,29.65,386.33,5.80,0.35
5.86,10.43,27.82,249.63,360.76,31.12,713.17,6.71,0.76
6.04,9.67,27.87,251.01,360.26,31.06,557.97,6.83,0.60
5.88,11.66,28.08,253.20,360.57,32.32,1033.71,5.92,0.97
6.06,9.18,28.03,248.09,362.58,30.18,481.70,6.72,0.51
5.95,8.51,28.14,251.13,358.92,29.76,419.63,6.42,0.43
5.86,9.43,28.11,246.72,363.64,30.92,549.69,6.71,0.58
6.08,10.85,28.10,249.96,361.64,32.34,753.98,6.61,0.79
5.94,8.87,28.10,247.42,358.98,30.06,463.44,6.54,0.48
6.09,9.62,28.15,254.99,364.69,30.89,546.02,6.90,0.60
5.92,9.94,27.95,254.11,365.75,31.43,629.69,6.78,0.67
5.86,11.19,27.99,250.44,358.34,32.78,891.79,6.27,0.88
6.10,11.99,27.84,254.02,356.87,32.73,1068.73,5.86,0.99
5.83,10.31,28.07,256.28,365.02,31.49,720.08,6.68,0.76
5.88,11.45,28.09,246.73,360.94,32.44,931.66,6.17,0.91
6.05,7.96,28.00,247.94,356.64,29.26,361.78,5.48,0.31
5.89,8.37,27.80,249.28,364.24,29.34,407.11,6.36,0.41
6.09,11.16,27.90,252.79,359.07,32.14,829.43,6.47,0.85
6.03,11.37,28.09,250.77,358.24,32.48,885.31,6.33,0.88
6.15,11.54,28.16,254.08,359.67,32.27,929.18,6.17,0.91
5.90,11.69,28.02,254.21,357.81,32.56,1031.07,5.97,0.97
5.83,10.87,27.99,254.21,364.05,32.11,825.97,6.49,0.85
6.15,8.35,27.89,247.11,364.61,29.55,381.72,5.96,0.36
5.93,8.32,27.92,251.52,357.28,30.05,419.35,6.02,0.40
6.13,11.47,28.12,256.21,356.89,32.55,930.24,6.15,0.90
